origin,variety,process,acidity,body,sweetness,cup_total,source
Mexico,Typica,Natural / Dry,0.643,0.652,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.691,0.676,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.643,0.676,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Caturra,Washed / Wet,0.691,0.7,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.571,0.7,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Other,Washed / Wet,0.429,0.802,0.923,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.691,0.676,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Other,Washed / Wet,0.594,0.7,0.923,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.666,0.652,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.652,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.62,0.727,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.691,0.676,0.923,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Blue Mountain,정보없음,0.714,0.727,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.594,0.625,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.594,0.727,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.714,0.676,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Pulped natural / honey,0.62,0.7,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,Pulped natural / honey,0.643,0.751,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,정보없음,정보없음,0.523,0.526,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.594,0.601,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Typica,Semi-washed / Semi-pulped,0.594,0.652,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.691,0.652,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Caturra,Washed / Wet,0.62,0.7,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.643,0.7,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Natural / Dry,0.666,0.652,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.691,0.526,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,정보없음,Washed / Wet,0.714,0.727,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,정보없음,Natural / Dry,0.666,0.652,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.676,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.571,0.625,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.727,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.652,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.714,0.727,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.727,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,정보없음,0.714,0.676,1.0,82.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.643,0.7,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Other,Washed / Wet,0.643,0.652,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.643,0.676,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.727,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.714,0.625,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Caturra,Washed / Wet,0.643,0.727,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.666,0.676,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.666,0.7,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.691,0.601,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.594,0.652,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.652,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.7,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.594,0.676,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.652,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.691,0.676,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.666,0.601,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Natural / Dry,0.594,0.676,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Semi-washed / Semi-pulped,0.691,0.676,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.601,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.714,0.652,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,정보없음,정보없음,0.691,0.7,1.0,82.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Other,Washed / Wet,0.666,0.7,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.714,0.625,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.714,0.727,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.714,0.775,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Washed / Wet,0.643,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.643,0.601,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,0.62,0.727,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.643,0.751,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.691,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Semi-washed / Semi-pulped,0.643,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,정보없음,Washed / Wet,0.714,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.643,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.763,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,정보없음,Washed / Wet,0.549,0.751,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.7,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.691,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.62,0.7,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.666,0.7,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Pacamara,Washed / Wet,0.643,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.666,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.62,0.7,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.691,0.577,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.62,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Arusha,Natural / Dry,0.62,0.676,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.652,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.571,0.7,1.0,82.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.643,0.652,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.594,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,Natural / Dry,0.643,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.643,0.652,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.571,0.652,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.643,0.625,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Pulped natural / honey,0.643,0.652,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.88,0.877,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.62,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.737,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.666,0.625,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.809,0.85,0.616,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacas,Washed / Wet,0.666,0.751,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,정보없음,Washed / Wet,0.643,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.549,0.55,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.643,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.643,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.652,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,정보없음,Washed / Wet,0.714,0.802,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.594,0.526,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.666,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.625,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.643,0.676,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.55,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Washed / Wet,0.666,0.652,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.571,0.7,1.0,82.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Washed / Wet,0.62,0.727,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,정보없음,정보없음,0.549,0.526,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacas,Washed / Wet,0.691,0.652,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.523,0.676,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.691,0.775,0.923,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.666,0.652,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.62,0.7,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.62,0.625,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.643,0.676,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.62,0.652,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.691,0.676,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.549,0.652,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.727,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.691,0.625,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.652,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Other,Washed / Wet,0.643,0.676,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.691,0.625,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.652,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.7,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.676,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Arusha,Natural / Dry,0.5,0.676,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.571,0.7,1.0,82.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.62,0.652,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.62,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,정보없음,0.62,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.594,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.643,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.594,0.775,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.714,0.601,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.62,0.7,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.652,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.571,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.666,0.625,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.62,0.625,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.62,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Other,0.643,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.549,0.577,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.751,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.625,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.714,0.877,0.923,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.676,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.652,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.549,0.577,1.0,82.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Bourbon,Washed / Wet,0.62,0.676,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.691,0.775,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.643,0.652,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.666,0.601,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.571,0.577,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.62,0.676,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.594,0.625,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,Washed / Wet,0.62,0.727,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.594,0.676,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.571,0.676,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.652,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.601,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.652,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Vietnam,Other,Natural / Dry,0.523,0.727,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.714,0.625,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.666,0.55,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.594,0.601,1.0,82.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.643,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.594,0.652,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.643,0.625,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.62,0.652,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Laos,Other,Washed / Wet,0.594,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.666,0.625,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.666,0.625,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.62,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.62,0.625,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.594,0.751,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.643,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.62,0.826,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.549,0.625,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.652,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.643,0.625,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Semi-washed / Semi-pulped,0.643,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Natural / Dry,0.643,0.727,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Semi-washed / Semi-pulped,0.643,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.751,0.923,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,정보없음,0.62,0.676,1.0,82.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.7,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.652,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.594,0.652,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.643,0.676,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.643,0.676,0.923,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Catuai,Washed / Wet,0.737,0.577,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.62,0.676,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,Washed / Wet,0.549,0.676,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Zambia,SL28,Washed / Wet,0.594,0.751,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,정보없음,Washed / Wet,0.666,0.625,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Other,0.571,0.676,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.666,0.676,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.571,0.676,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.643,0.625,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.666,0.652,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.737,0.676,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.643,0.625,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
